suburb,breed,type,colour,registered,age,animal_nam
 LARA ,Staffordshire/Bull Terrier,Dog,Black/Brindle,T,5,Nessa
 LARA ,Staffordshire,Dog,Brindle,T,7,Barry
 LEOPOLD ,English Staffordshire,Dog,Brown/White,T,0,Allie
 LEOPOLD ,Terrier,Dog,Tri Colour,T,7,Matilda
 HERNE HILL ,Beagle,Dog,Tri Colour,F,4,Daisy
 MARSHALL ,English Staffordshire,Dog,Blue,F,3,Griffin
 HIGHTON ,Domestic Long Haired,Cat,Black,T,8,Tom
 LEOPOLD ,Rottweiler,Dog,Black/Tan,F,5,Butch
 LEOPOLD ,Dalmatian,Dog,White/Black,T,4,Oscar spot
 ARMSTRONG CREEK ,Bichon Frise,Dog,Apricot,T,13,Jasper
 ARMSTRONG CREEK ,Cockerspaniel/Cross,Dog,Golden,T,10,Jazz
 LARA ,Boxer/Cross,Dog,Tan,T,10,Bronson
 HIGHTON ,Rhodesian Ridgeback,Dog,Liver,F,1,Sookie
 POINT LONSDALE ,Cavalier KC Spaniel,Dog,,T,2,Ruby Rose
 BELMONT ,Labrador,Dog,Black,T,13,Audrey
 ARMSTRONG CREEK ,Labrador,Dog,Chocolate,T,2,Max
 ARMSTRONG CREEK ,Staffordshire,Dog,Brindle/Tan,F,8,Lilly
 GROVEDALE ,Poodle/Miniature,Dog,Black/Grey,F,1,Lulu
 BARWON HEADS ,Labrador/Collie,Dog,Black,F,8,Lolly
 LARA ,Alaskan/Malamute,Dog,Grey,T,2,Tikaani
 LARA ,Alaskan/Malamute,Dog,Apricot/White,T,1,Koda
 LARA ,Domestic,Cat,Tabby,T,7,Max
 HIGHTON ,West Highland Terrier,Dog,White,T,4,Charlie
 GROVEDALE ,Domestic,Cat,Tortishell,T,2,Sooki
 LEOPOLD ,Springer Spaniel,Dog,Black/White,T,1,harry
 ARMSTRONG CREEK ,Alaskan/Malamute,Dog,Grey,T,4,Indie
 GROVEDALE ,Cavalier KC Spaniel/Poodle,Dog,Tri Colour,F,3,Douglas
 ST LEONARDS ,Greyhound,Dog,Black,T,3,Walter
 HERNE HILL ,Lhasa Apso,Dog,Tri Colour,T,8,Bella
 OCEAN GROVE ,Maltese,Dog,Black/White,T,6,Roxy
 LARA ,Labrador Cross,Dog,Tri Colour,T,6,Bear
 LARA ,Jack Russell,Dog,Tan/White,T,12,maddy
 LARA ,Domestic Short Haired,Cat,Ginger/White,T,3,Mac
 ARMSTRONG CREEK ,Domestic,Cat,Grey,T,1,Milo
 LEOPOLD ,Maltese/Shih Tzu,Dog,White/Brown,T,10,Sam
 HIGHTON ,Border Collie,Dog,Black/White,T,4,Luna
 HIGHTON ,Pomeranian/Chihuahua,Dog,Black/Tan,T,4,Chloe
 HIGHTON ,Domestic,Cat,Tabby,T,7,Kira
 HIGHTON ,Cavalier KC Spaniel/Poodle,Dog,Champagne,T,2,Poppy
 ARMSTRONG CREEK ,Labradoodle,Dog,Apricot,F,7,Gus
 DRYSDALE ,Labrador/Poodle,Dog,Chocolate,T,6,Rusty
 DRYSDALE ,Labradoodle,Dog,Cream,F,7,Scruffy
 ARMSTRONG CREEK ,Cavoodle,Dog,White,T,3,Maddison
 ARMSTRONG CREEK ,Cavoodle,Dog,White,T,3,Louis
 LARA ,Domestic,Cat,Grey/Ginger,F,1,Millie Mae
 LARA ,Jack Russell,Dog,White/Tan,T,11,Alfie Girl
 LEOPOLD ,Maltese/Shih Tzu,Dog,Black/Tan,F,5,Theo
 BARWON HEADS ,German Shepherd,Dog,Black/Tan,T,13,Zac
 LARA ,Maltese/Shih Tzu,Dog,Black/White,T,1,Marley
 LEOPOLD ,Kelpie/Border Collie,Dog,Black/Tan,F,13,Phoebe
 LEOPOLD ,German Shepherd,Dog,Black/Tan,T,5,Bella
 LEOPOLD ,Silky Terrier,Dog,Blonde/Black,T,13,Mollie
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Grey/ White,T,1,Grayson
 ARMSTRONG CREEK ,Cavoodle,Dog,Apricot,T,3,Molly
 CLIFTON SPRINGS ,English Bull Terrier,Dog,Red/White,F,6,Wilson
 LEOPOLD ,Border Collie/Cross,Dog,Black/White,T,1,Spot
 LEOPOLD ,German Shepherd,Dog,Tan/Black,T,8,HARLEY
 LEOPOLD ,Miniature/Schnauzer,Dog,Pepper/Salt,T,3,Zebra
 LEOPOLD ,Border Collie/Cross,Dog,Black/White,T,1,Colin
 LEOPOLD ,Miniature/Schnauzer,Dog,Black/Silver,T,1,Django
 LEOPOLD ,Labrador/Heeler,Dog,Black/White,T,6,Elektra
 LEOPOLD ,Mastiff/Cross,Dog,Tan/Black,F,7,Steel
 LEOPOLD ,Husky,Dog,Grey/ White,T,5,Jai
 LEOPOLD ,Border Collie,Dog,Black/White,T,3,Ruben
 LEOPOLD ,Tibetan Spaniel,Dog,White/Tan,T,2,Milo
 LEOPOLD ,Domestic Short Haired,Cat,Tabby,T,0,Charlie
 LEOPOLD ,Border Collie,Dog,Brown/White,T,4,Echo
 LEOPOLD ,Australian Silky/Terrier,Dog,Blue/Tan,T,2,Pippa
 LEOPOLD ,Maltese/Pomeranian,Dog,White,T,10,Oscar
 LEOPOLD ,Cavalier KC Spaniel/Cross,Dog,Black/Tan,T,2,Snoop
 LEOPOLD ,Maltese/Shih Tzu,Dog,Tri Colour,T,2,Abbey
 LEOPOLD ,Maltese/Shih Tzu,Dog,Black/White,F,11,Jessi
 LARA ,Staffordshire,Dog,Tan,T,5,Medo
 LEOPOLD ,Golden Retriever,Dog,Golden,T,5,Cruze
 LEOPOLD ,Labrador,Dog,Black,T,10,Cooper
 LEOPOLD ,English Springer/Spaniel,Dog,Liver/White,T,1,Spencer
 OCEAN GROVE ,Jack Russell/Cross,Dog,Black,T,9,Sparkles
 LEOPOLD ,Labrador,Dog,Black,T,9,B
 ARMSTRONG CREEK ,Schnauzer/Poodle,Dog,Black/White,F,3,Merv
 LEOPOLD ,Jack Russell/Cross,Dog,White,T,3,Flash
 LEOPOLD ,Fox Terrier/Jack Russell,Dog,Tri Colour,T,6,Chase
 LARA ,Fox Terrier/Jack Russell,Dog,Black/White,T,7,Ellie
 ARMSTRONG CREEK ,Staffordshire,Dog,Tri Colour,T,7,Oscar
 LEOPOLD ,English Staffordshire,Dog,Brindle,T,8,Jake
 LEOPOLD ,Labrador,Dog,Golden,T,6,Bella
 LEOPOLD ,Fox Terrier/Cross,Dog,Tri Colour,T,13,Toby
 LEOPOLD ,Ragdoll,Cat,Seal Point,F,4,Gepetto
 LEOPOLD ,Parson Russell Terrier,Dog,Tri Colour,T,10,Molly
 LEOPOLD ,Cockerspaniel,Dog,Black/White,T,1,Alfie
 LEOPOLD ,Corgi/Cross,Dog,Tan/White,T,0,Frankie
 ARMSTRONG CREEK ,West Highland Terrier,Dog,White,F,10,Willie
 HIGHTON ,Cavalier KC Spaniel/Poodle,Dog,Apricot,T,2,Oscar
 POINT LONSDALE ,Lhasa Apso,Dog,White,F,,Zac
 LEOPOLD ,German Shepherd/Cross,Dog,Black/Tan,T,8,Cooper
 LEOPOLD ,Domestic Short Haired,Cat,Black,T,5,Paws
 LEOPOLD ,Border Collie,Dog,Black/White,T,11,Lexi
 GROVEDALE ,Labrador Cross,Dog,Black,T,5,Ellie
 LARA ,Maltese/Shih Tzu,Dog,White,F,11,Bella
 LEOPOLD ,Maltese,Dog,White/Apricot,F,4,Maliboo
 GROVEDALE ,Lhasa Apso/Maltese,Dog,Black/White,T,5,Lilly
 CURLEWIS ,Border Collie/Labrador,Dog,Black,F,6,Woof
 GROVEDALE ,Maltese,Dog,Cream/White,F,5,Hunter
 HIGHTON ,Domestic Short Haired,Cat,Tortishell/White,T,12,Lily
 HIGHTON ,Domestic,Cat,Ginger/White,F,5,Leo
 HIGHTON ,Weimaraner,Dog,Grey,T,5,Casper
 HIGHTON ,Australian Terrier,Dog,Brown/White,T,3,Fred
 CURLEWIS ,Kelpie/Cross,Dog,Tan/Black,T,6,Blue
 CURLEWIS ,Jack Russell,Dog,Tan/White,T,5,Skip
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Grey/Tabby,T,6,Cam
 HIGHTON ,Domestic Short Haired,Cat,White,T,,Sambo
 HIGHTON ,Cavalier KC Spaniel/Poodle,Dog,Black,T,1,Harvey
 LARA ,Pug/Cross,Dog,Tan/Black,T,1,Alma
 HIGHTON ,Domestic,Cat,Grey,F,11,Misty
 HIGHTON ,Fox Terrier/Whippet,Dog,Tan/Black,T,9,Bella
 HIGHTON ,Domestic,Cat,Black,T,3,Jackson
 CLIFTON SPRINGS ,Border Collie,Dog,Black/White,T,3,Samshin
 LEOPOLD ,Domestic Short Haired,Cat,Tortishell/White,T,1,Ella
 CURLEWIS ,Jack Russell,Dog,White/Black,T,5,Dusty
 ARMSTRONG CREEK ,Maltese/Shih Tzu,Dog,Tri Colour,T,2,Dobby
 NORLANE ,Domestic,Cat,Black/White,F,5,Faith
 ARMSTRONG CREEK ,Staffordshire/Cross,Dog,Brindle/White,F,7,Cougar
 ARMSTRONG CREEK ,Border Collie/Cross,Dog,Black/White,T,7,Oscar
 LEOPOLD ,Australian Silky/Terrier,Dog,Black/Silver,T,45,Pippy
 LEOPOLD ,Jack Russell,Dog,Tri Colour,T,7,Patch
 HIGHTON ,Maltese,Dog,White,T,6,MILLIE
 ARMSTRONG CREEK ,Domestic,Cat,White/Black,T,11,Cindy
 LEOPOLD ,Border Collie,Dog,Black/White,T,9,Jess
 LEOPOLD ,Jack Russell/Fox Terrier,Dog,Tri Colour,T,3,Pixie
 LEOPOLD ,Kelpie/Red,Dog,Red,T,2,Bouncer
 LEOPOLD ,Domestic Short Haired,Cat,Tabby,T,10,Tiger
 HIGHTON ,Labrador Cross,Dog,Black/White,T,7,LUCY
 WHITTINGTON ,Domestic Short Haired,Cat,Charcoal,T,11,Jinga
 LEOPOLD ,German S/H Pointer,Dog,Brown,T,5,Mimi
 CURLEWIS ,Domestic Short Haired,Cat,Black,T,10,Samson
 OCEAN GROVE ,Jack Russell,Dog,Tan/White,T,3,Wizard
 GROVEDALE ,Domestic,Cat,Tabby,T,8,Tom
 GROVEDALE ,Domestic,Cat,Tan/Black,T,6,Titan
 LEOPOLD ,Jack Russell,Dog,Tan/White,T,13,Flash
 ARMSTRONG CREEK ,German S/H Pointer,Dog,Liver/White,F,8,Eva
 CLIFTON SPRINGS ,Domestic,Cat,Black/White,T,1,Missy Meowgi
 ARMSTRONG CREEK ,Border Collie,Dog,Tan/White,F,9,Dash
 ARMSTRONG CREEK ,Domestic,Cat,Silver/Tabby,T,6,Tilly
 EAST GEELONG ,Domestic Short Haired,Cat,Tabby/White,T,6,Charlie
 HIGHTON ,Maine Coon,Cat,Ginger,T,0,Jemima
 LEOPOLD ,Siberian Husky,Dog,Black/White,T,6,Rooney
 LEOPOLD ,British/Short Haired,Cat,Grey/ White,T,4,Treasure
 LEOPOLD ,Ragdoll,Cat,Cream/Brown,T,5,Daisy
 LEOPOLD ,English Staffordshire,Dog,Black/White,F,6,Major
 LEOPOLD ,English Staffordshire,Dog,Blue/White,F,4,Hunter
 LEOPOLD ,Retriever,Dog,White,T,2,Georgie
 LEOPOLD ,Maremma Sheepdog,Dog,White,T,3,Lisa
 GROVEDALE ,Cockerspaniel,Dog,Blue/Roan,T,9,Sesame Azur Blue
 POINT LONSDALE ,Pomeranian/Maltese,Dog,Black/White,F,8,Scout
 LARA ,Cockerspaniel,Dog,Golden,T,8,Trixie
 CORIO ,Staffordshire/Bull Terrier,Dog,Tri Colour,T,4,Max
 HIGHTON ,Parson Russell Terrier,Dog,White/Tan,T,6,Ruger
 HIGHTON ,Rottweller/Cross,Dog,Tan,T,1,Winnie
 CURLEWIS ,Schnoodle,Dog,Black/Tan,F,4,Ozzy
 GROVEDALE ,Staffordshire,Dog,Black/Brindle,T,9,Indy
 CURLEWIS ,English Staffordshire,Dog,Blue,F,3,Jazz
 HIGHTON ,Blue Heeler,Dog,Blue,F,6,Ellre
 MANIFOLD HEIGHTS ,Chihuahua/Cross,Dog,Black/White,F,4,Minnie
 OCEAN GROVE ,English Staffordshire Bull Terrier,Dog,Black/White,T,9,Charley
 CURLEWIS ,Labrador,Dog,Golden,T,3,Ella
 CURLEWIS ,Golden Retriever,Dog,Gold/White,T,2,Bumble
 LEOPOLD ,Labrador,Dog,Golden,T,12,MACCA
 ARMSTRONG CREEK ,Golden Retriever,Dog,Golden,T,14,Rasta
 GEELONG ,Dachshund,Dog,Red,T,3,Poogie
 HIGHTON ,Fox Terrier/Cross,Dog,White/Brown,T,9,Lucy
 HIGHTON ,Newfoundland,Dog,,T,1,Ollie
 CURLEWIS ,Boxer/Cross,Dog,Tan/White,F,5,Ace
 CURLEWIS ,Staffordshire,Dog,Brindle/White,T,6,Ella
 ARMSTRONG CREEK ,Spoodle,Dog,Black,F,2,Izzy
 GROVEDALE ,Rottweiler,Dog,Black/Tan,T,9,Tess
 HIGHTON ,Labrador,Dog,Golden,T,8,Belle
 ARMSTRONG CREEK ,Labrador,Dog,Black,T,6,Harley
 LEOPOLD ,Fox Terrier,Dog,Black/White,T,23,Amy
 LEOPOLD ,Dachshund,Dog,Red,T,7,Molly
 LEOPOLD ,Labrador,Dog,Golden,T,10,Sophie
 GEELONG WEST ,Siamese,Cat,Seal Point,F,7,Tom
 WAURN PONDS ,Collie/Kelpie,Dog,Black/White,T,7,Amy
 ARMSTRONG CREEK ,Ragdoll,Cat,Blue,T,9,Champers
 ARMSTRONG CREEK ,Ragdoll,Cat,Blue,T,9,Brandy
 ARMSTRONG CREEK ,Shih Tzu/Cross,Dog,White/Brown,T,10,Max
 OCEAN GROVE ,Golden Retriever,Dog,Golden,F,7,Missy
 LEOPOLD ,Labrador,Dog,Golden,T,11,Jonesy
 LEOPOLD ,Golden Retriever,Dog,Golden,T,7,BELLA
 HAMLYN HEIGHTS ,Kelpie,Dog,Black/Brown,T,10,Billie
 LEOPOLD ,Jack Russell/Shih Tzu,Dog,Tri Colour,T,5,Dotti
 HIGHTON ,Labrador,Dog,Golden,T,8,Archie
 ARMSTRONG CREEK ,Rottweiler,Dog,Black/Tan,T,5,Harley
 ARMSTRONG CREEK ,Rottweiler,Dog,Black/Tan,T,5,Brutis
 HIGHTON ,Labrador,Dog,Chocolate,T,8,POPPY
 ARMSTRONG CREEK ,American Bull Dog,Dog,White/Brindle,T,5,Kendra
 HIGHTON ,English Staffordshire,Dog,Black/White,T,5,Cody
 LEOPOLD ,Labrador,Dog,Black,T,1,Harley
 LEOPOLD ,Maltese/Australian Silky,Dog,White/Tan,T,8,Rosie
 HIGHTON ,Heeler/Cross,Dog,Tan,F,1,Daphne
 GROVEDALE ,Maltese/Shih Tzu,Dog,Grey,T,8,Gary
 LARA ,Jack Russell,Dog,White/Brown,T,12,Dickie
 LARA ,Border Collie,Dog,Tri Colour,T,4,Jesse
 PORTARLINGTON ,Maltese/Shih Tzu,Dog,White,T,7,Freddy
 PORTARLINGTON ,Chihuahua,Dog,Black,F,2,Tim
 LARA ,Labrador/Retriever,Dog,Golden,F,7,Crystal
 LARA ,Burmese,Cat,Chocolate,T,5,oscar
 LARA ,Maltese/Shih Tzu,Dog,Tri Colour,F,11,Tiffany
 LEOPOLD ,Maltese/Shih Tzu,Dog,White,F,3,Sampson
 LEOPOLD ,Jack Russell,Dog,White/Tan,F,8,Flea
 CURLEWIS ,Maltese/Shih Tzu,Dog,Apricot/Cream,F,8,Molly
 ARMSTRONG CREEK ,West Highland Terrier,Dog,White,T,15,Rosie
 CURLEWIS ,Domestic Short Haired,Cat,Black,F,4,Charlotte
 CURLEWIS ,Miniature/Cross Breed Dog,Dog,Tan,T,8,Falco
 CURLEWIS ,Jack Russell,Dog,Tri Colour,F,2,Kevin
 LARA ,Jack Russell,Dog,Tri Colour,F,4,Charli
 HIGHTON ,Jack Russell/Fox Terrier,Dog,Tri Colour,T,5,Diesel
 NORLANE ,Poodle/Shih Tzu,Dog,White,F,7,Rommy
 BARWON HEADS ,Domestic,Cat,Tri Colour,T,12,Kitty
 ARMSTRONG CREEK ,Staffordshire/Cross,Dog,Brindle/White,F,3,Thor
 LEOPOLD ,Domestic,Cat,Black/White,T,16,Ally
 ARMSTRONG CREEK ,Shar Pei/Cross,Dog,Black,T,11,Morgan
 CURLEWIS ,Hungarian Vizsla,Dog,Red/Rust,T,9,Snoop
 CURLEWIS ,Maltese,Dog,White,T,9,Ruby
 LARA ,Cavoodle,Dog,Black/Apricot,T,8,Milo
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Tortishell,T,3,Muffin
 LEOPOLD ,Shih Tzu/Fox Terrier,Dog,Brown/White,T,3,Pepper
 LEOPOLD ,Jack Russell,Dog,White/Brown,T,11,Bessie Angel
 CORIO ,Cavalier KC Spaniel/Poodle,Dog,Apricot,T,6,Scrappy
 GROVEDALE ,Domestic,Cat,Grey,F,5,Missy
 LEOPOLD ,Jack Russell,Dog,White/Tan,T,10,Jasper
 ARMSTRONG CREEK ,Staffordshire/Cross,Dog,Black/Brindle,T,6,Ally
 MOUNT DUNEED ,Staffordshire/Cross,Dog,Brindle,T,12,Zepha
 ARMSTRONG CREEK ,Staffordshire/Terrier,Dog,Black/White,T,8,Rocco
 BELMONT ,Weimaraner,Dog,Grey,T,12,Lex
 HIGHTON ,Labrador Cross,Dog,Golden,F,9,Axel
 CURLEWIS ,Cavalier KC Spaniel,Dog,Tri Colour,T,10,Summer
 ARMSTRONG CREEK ,Golden Retriever,Dog,Golden,T,12,Sophie
 CURLEWIS ,Fox Terrier/Cross,Dog,Tri Colour,T,5,Ruby
 LARA ,Spaniel/Cross,Dog,Golden,T,1,Chloe
 CURLEWIS ,Labrador,Dog,Black,T,8,Mia
 OCEAN GROVE ,Golden Retriever,Dog,Golden,F,8,Rox
 HIGHTON ,English Staffordshire,Dog,White/Tan,T,9,Bruce
 CURLEWIS ,American Bull Dog,Dog,White/Tan,T,4,Abi
 ARMSTRONG CREEK ,Labrador,Dog,Black,F,12,Cougar
 CURLEWIS ,Domestic Long Haired,Cat,Ginger,T,5,Ginny
 LARA ,Staffordshire/Bull Terrier,Dog,Tri Colour,T,8,Bella
 HAMLYN HEIGHTS ,K.C.Spaniel,Dog,Tri Colour,T,1,Charlie
 OCEAN GROVE ,Golden Retriever,Dog,Golden,T,1,Ed Longridge
 LEOPOLD ,Labrador,Dog,Golden,F,10,Meg
 ARMSTRONG CREEK ,Spaniel/Poodle,Dog,Black/White,T,7,Bob
 ARMSTRONG CREEK ,American Bull Dog,Dog,Tan/White,T,7,Sheila
 CURLEWIS ,Kelpie,Dog,Brown,F,3,Indie
 LEOPOLD ,Rhodesian Ridgeback,Dog,Red/Wheaten,T,4,Zeifa
 OCEAN GROVE ,Cavoodle,Dog,Brown/White,T,1,Coco
 ARMSTRONG CREEK ,Border Collie,Dog,Black/White,T,4,MILLIE
 ARMSTRONG CREEK ,German Shepherd,Dog,White,F,5,Honey
 LEOPOLD ,Maltese/ Terrier,Dog,White,T,13,Casper
 HIGHTON ,Maltese,Dog,White,T,10,Tia
 LEOPOLD ,Domestic Short Haired,Cat,Tabby,T,3,Elmo
 LEOPOLD ,Maltese/Pomeranian,Dog,White,T,7,Indy
 CURLEWIS ,Jack Russell,Dog,Tan/White,T,9,Polly
 LEOPOLD ,Domestic,Cat,Brown/Black,F,6,Lilly
 HIGHTON ,West Highland Terrier,Dog,White,T,7,Imelda
 MARSHALL ,Heeler,Dog,Red,T,14,Balzamon
 ARMSTRONG CREEK ,Jack Russell,Dog,Black/White,F,11,Molly
 CURLEWIS ,West Highland Terrier,Dog,White,T,14,Finn
 HIGHTON ,Poodle,Dog,Brown,T,2,Charlie (Brown)
 CURLEWIS ,Australian Bulldog,Dog,White/Tan,T,7,Jed
 WAURN PONDS ,British Bulldog,Dog,Red/White,F,5,Axel
 CURLEWIS ,Chihuahua,Dog,Blue,T,4,Charley
 CURLEWIS ,Domestic,Cat,Tortishell,T,14,Fleas
 LEOPOLD ,Rhodesian Ridgeback,Dog,Red/Wheaten,T,2,Zeus
 CURLEWIS ,Labrador,Dog,Yellow,T,9,Ozzy
 CURLEWIS ,Fox Terrier/Jack Russell,Dog,Black,T,7,Cindy
 ARMSTRONG CREEK ,Staffordshire,Dog,Black/Brindle,T,0,Poppy
 CURLEWIS ,Beagle,Dog,Tri Colour,T,6,Rosie
 LEOPOLD ,English Staffordshire Bull Terrier,Dog,Black/White,T,3,Koda
 ARMSTRONG CREEK ,Staghound/Cross,Dog,Golden,T,6,Sarge
 MARSHALL ,Beagle,Dog,Tri Colour,T,1,HUDSON
 ARMSTRONG CREEK ,Golden Retriever,Dog,Golden,F,3,Roxy
 BELL PARK ,Domestic Long Haired,Cat,Charcoal,F,3,Hugo
 PORTARLINGTON ,Kelpie/Shepherd,Dog,Tri Colour,T,3,Milli
 WAURN PONDS ,Kelpie,Dog,Red/Tan,T,6,Max
 LARA ,Domestic Long Haired,Cat,Tabby,F,4,Dexter
 OCEAN GROVE ,Labrador,Dog,Golden,T,4,Saxon
 POINT LONSDALE ,Labrador,Dog,Yellow,T,10,Georgia
 OCEAN GROVE ,Golden Retriever,Dog,Golden,T,10,Toby
 CURLEWIS ,Australian Kelpie,Dog,Red,T,8,Rodger
 GROVEDALE ,Great Dane,Dog,Merle,F,11,Katie
 LEOPOLD ,Cavalier KC Spaniel,Dog,Ruby,T,0,Lulu
 LEOPOLD ,Toy/Poodle,Dog,Black,T,9,Josh
 LEOPOLD ,Staffordshire,Dog,Tri Colour,F,2,Dexter
 HIGHTON ,Labrador,Dog,Black,T,3,Jackson
 ARMSTRONG CREEK ,Maltese/Bichon Frise,Dog,White,F,7,Romeo
 OCEAN GROVE ,Golden Retriever,Dog,Golden,T,9,Kirra
 OCEAN GROVE ,Staffordshire/Bull Terrier,Dog,White/Red,T,1,Ted
 OCEAN GROVE ,Golden Retriever,Dog,Golden,T,1,Nala
 LARA ,Dachshund/Cross,Dog,Brown,T,8,Wintfred Jones
 ARMSTRONG CREEK ,Cavalier KC Spaniel,Dog,Black/White,T,,Raffles
 LEOPOLD ,Cockerspaniel,Dog,Golden,T,8,Ralph
 LEOPOLD ,Rhodesian Ridgeback,Dog,Tan,T,9,Rojam
 ARMSTRONG CREEK ,Staffordshire,Dog,Black/Brindle,T,0,Dozer
 LEOPOLD ,Domestic Long Haired,Cat,Ginger/Tabby,F,12,Toby
 MARSHALL ,Golden Retriever,Dog,Golden,T,7,Kobe
 OCEAN GROVE ,Labrador/Kelpie,Dog,Black,T,1,Bella
 ARMSTRONG CREEK ,Beagle,Dog,Tri Colour,T,7,Bruzer
 PORTARLINGTON ,Abyssinian,Cat,Tan,T,3,Cleo
 LARA ,Maltese Cross,Dog,Black/White,T,5,Sam
 CURLEWIS ,Maltese Cross,Dog,Brown,T,5,Benjie
 OCEAN GROVE ,Staffordshire,Dog,Tan,F,5,Frankie
 HIGHTON ,Maltese Cross,Dog,White/Cream,T,1,Benjamin
 NEWCOMB ,Toy/Poodle,Dog,Grey/Black,T,8,Pepper
 ST LEONARDS ,Dachshund,Dog,Black/Tan,T,14,Morgan
 ARMSTRONG CREEK ,Kelpie,Dog,Brown/Tan,T,13,Jessica
 OCEAN GROVE ,Whippet/Cross,Dog,White/Black,T,12,Jess
 PORTARLINGTON ,Spoodle,Dog,Apricot,,4,Molly
 BELMONT ,Golden Retriever,Dog,Golden,F,13,Cleo
 ARMSTRONG CREEK ,Staffordshire,Dog,Brindle,F,2,Barney
 ARMSTRONG CREEK ,Golden Retriever,Dog,Golden,T,4,Lulu
 ARMSTRONG CREEK ,Rottweiler,Dog,Black/Tan,F,9,Kisha
 MOOLAP ,Maltese Cross,Dog,White,T,6,Hettie
 OCEAN GROVE ,Spaniel/Poodle,Dog,Golden,T,5,Larry
 CURLEWIS ,American Staffordshire,Dog,Brindle,T,3,Gemma
 BELL POST HILL ,Pug,Dog,Fawn,T,9,Maverick
 ARMSTRONG CREEK ,Kelpie,Dog,Black/Tan,T,1,Inidanna
 ARMSTRONG CREEK ,Pug/Cross,Dog,Fawn,F,12,Ralphie
 ARMSTRONG CREEK ,German Shepherd,Dog,Black/Tan,T,6,Alfie
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Black,T,4,Abby
 LEOPOLD ,Maltese,Dog,White,T,4,Sally
 LARA ,Pug/Fox Terrier,Dog,Tan/Black,F,7,Max
 WHITTINGTON ,Maltese/Shih Tzu,Dog,Tri Colour,T,3,JJT
 ARMSTRONG CREEK ,Domestic,Cat,Black/White,T,7,Sylvester
 LEOPOLD ,Hungarian Vizsla,Dog,Red,T,3,Jax
 WAURN PONDS ,Poodle/Shih Tzu,Dog,Tri Colour,T,1,Sachin
 OCEAN GROVE ,Domestic,Cat,Tortishell,T,1,Pepsi
 OCEAN GROVE ,Border Collie/Kelpie,Dog,Black/White,T,13,Max
 LEOPOLD ,German Shepherd,Dog,Sable,T,5,Mojo
 OCEAN GROVE ,Labrador/Poodle,Dog,Chocolate,T,5,Baxter
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Grey/ White,F,13,Peaches
 PORTARLINGTON ,Border Collie,Dog,Black/White,T,12,Poppy
 PORTARLINGTON ,Domestic Short Haired,Cat,Tabby,T,2,Gin Gin
 PORTARLINGTON ,Domestic,Cat,Tortishell,T,10,Tabitha
 LEOPOLD ,Domestic Short Haired,Cat,Black,T,8,Cindy
 CURLEWIS ,Maltese/Shih Tzu,Dog,White,T,3,Demo
 LARA ,German Shepherd/Cross,Dog,Tan,T,2,Narla
 LARA ,German Shepherd,Dog,Sable,F,1,Khan
 MARSHALL ,Maltese/Shih Tzu,Dog,Brown,T,9,Wicket
 BELL PARK ,Domestic Short Haired,Cat,White,T,7,Hiro
 OCEAN GROVE ,Labrador/Retriever,Dog,Black,T,4,Lily
 LEOPOLD ,Domestic Short Haired,Cat,White/Grey,T,3,Sheldon
 LEOPOLD ,Domestic Short Haired,Cat,Tabby,T,7,Pixie
 LEOPOLD ,Australian Bulldog,Dog,Tri Colour,T,1,Taffaya
 HIGHTON ,German Shepherd,Dog,Black/Tan,T,1,Bailey
 HIGHTON ,German Shepherd,Dog,Black/Tan,T,9,Lexi
 ARMSTRONG CREEK ,Jack Russell/Heeler,Dog,Tri Colour,T,,Diesel
 MANNERIM ,Burmese,Cat,Lilac,T,16,cream
 ARMSTRONG CREEK ,Cavalier KC Spaniel/Poodle,Dog,Apricot/White,F,2,Buddy
 ARMSTRONG CREEK ,Border Collie,Dog,Black/White,T,1,Dusty
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Black,F,4,Vader
 DRYSDALE ,Pomeranian,Dog,Red,T,14,Bj
 ARMSTRONG CREEK ,Border Collie,Dog,Tri Colour,T,5,Max
 BELMONT ,Domestic Short Haired,Cat,Black/White,T,1,Magic
 ARMSTRONG CREEK ,Domestic,Cat,Tabby/White,F,9,Jensa
 ARMSTRONG CREEK ,Border Collie,Dog,Black/White,F,3,Ted
 NEWTOWN ,Italian Greyhound,Dog,Fawn/White,T,2,Winifred
 NEWTOWN ,Domestic,Cat,Brown/Black,T,15,Kit Cat
 CLIFTON SPRINGS ,Domestic,Cat,Black,T,5,Sooty
 DRYSDALE ,Chinese Crested,Dog,Tri Colour,T,2,Miss Daisy
 HIGHTON ,Maltese/Shih Tzu,Dog,Tri Colour,F,12,Paddy
 HIGHTON ,Maltese/Shih Tzu,Dog,Tri Colour,T,6,Izzy
 NEWCOMB ,West Highland Terrier,Dog,White,T,13,Angus-Mac
 LEOPOLD ,Maltese/ Terrier,Dog,White,T,9,Molly
 WHITTINGTON ,Maltese/Shih Tzu,Dog,Black/Grey,T,1,Angie
 ARMSTRONG CREEK ,Domestic Short Haired,Cat,Tortishell/Tabby,T,6,Sonic
