suburb,breed,type,colour,registered,age,animal_nam
 NEWTOWN ,Terrier,Dog,Black/Tan,F,14,Astro
 MANIFOLD HEIGHTS ,Poodle/Toy,Dog,Black,F,4,Harry
 GROVEDALE ,Labrador,Dog,Black,T,5,Bailey
 HIGHTON ,Staffordshire,Dog,Brindle/White,F,12,Zac
 BELMONT ,Pug,Dog,Black,T,6,Minya Jambi
 NEWTOWN ,Bichon Frise,Dog,White,F,12,Gidget
 BELMONT ,Pug,Dog,Black,T,6,Pippy Zooloo
 BELMONT ,Domestic Long Haired,Cat,Black/White,F,9,Scruffy
 GEELONG WEST ,Golden Retriever,Dog,Golden,T,2,Mischa
 NEWTOWN ,Maltese Cross,Dog,White,F,11,Mitzy
 NEWTOWN ,Cockerspaniel,Dog,Golden,T,9,Sandal
 MANIFOLD HEIGHTS ,Labrador/Kelpie,Dog,Black,T,6,Delilha
 NEWTOWN ,Poodle/Maltese,Dog,Black,F,4,Pippa
 NEWTOWN ,Staffordshire,Dog,Brindle,T,11,Mia
 NEWTOWN ,Ragdoll,Cat,White/Grey,T,1,Sasha
 NEWTOWN ,Jack Russell/Cross,Dog,White/Tan,T,5,Buddy
 NEWTOWN ,Irish Setter,Dog,Red,T,5,Rory
 BARWON HEADS ,Golden Retriever/Retriever,Dog,Golden,T,2,Nanuk
 NEWTOWN ,Kelpie,Dog,Brown,T,7,Hayla
 NEWTOWN ,Chow Chow,Dog,Black,T,5,Simba
 NEWTOWN ,Birman,Cat,Blue,T,8,Fraser
 NEWTOWN ,Domestic,Cat,Tortishell,F,8,Nina
 NEWTOWN ,Jack Russell,Dog,Brown/White,T,10,Maggie
 NEWTOWN ,Domestic Short Haired,Cat,Black/Grey,T,12,Chloe
 NEWTOWN ,Domestic,Cat,White,T,13,Rosie
 NEWTOWN ,Border Collie/Cross,Dog,Black/White,T,5,Jasper
 NEWTOWN ,Shih Tzu/Poodle,Dog,Chocolate,T,5,Milo
 NEWTOWN ,Border Collie,Dog,Tan/White,T,5,Terra
 NEWTOWN ,Domestic Short Haired,Cat,Black,T,19,Cherry
 GROVEDALE ,Border Collie,Dog,Black/White,T,5,Molly
 NEWTOWN ,Domestic Short Haired,Cat,Tabby/White,T,2,Mika
 NEWTOWN ,Border Collie,Dog,Black/White,F,8,Bella
 NEWTOWN ,Domestic Short Haired,Cat,Tabby,T,13,Hector
 NEWTOWN ,Poodle,Dog,Black,F,6,Macgregor
 NEWTOWN ,Russian Blue Cross,Cat,Black,T,7,Matilda
 NEWTOWN ,Cavoodle,Dog,Tan,T,1,Pippa
 NEWTOWN ,Maltese/Shih Tzu,Dog,White,T,12,Montey
 NEWTOWN ,Domestic Short Haired,Cat,White/Black,T,10,Baby
 NEWTOWN ,Jack Russell,Dog,Tan/Brown,F,10,Bart
 NEWTOWN ,Tenterfield Terrier,Dog,Tri Colour,T,6,HENRY
